指标类别,具体指标,dae（135033.csv）,mosDNS（135813.csv）,差异（mosDNS 相对优势）
解析成功率,中位数,60.0%,100.0%,+40.0个百分点
解析成功率,平均值,60.05%,96.80%,+36.75个百分点
解析成功率,最小值,35.0%,85.0%,+50.0个百分点
解析成功率,最大值,80.0%,100.0%,+20.0个百分点
解析成功率,整体失败率,39.95%,3.20%,-36.75个百分点
时间指标,time_namelookup中位数,58.0 ms,39.0 ms,快19.00 ms
时间指标,time_total中位数,58.0 ms,39.0 ms,快19.00 ms
失败统计,总失败次数,799,64,少735次
失败统计,主要失败类型,连接超时（33.54%） | 解析超时（66.46%）,解析超时（100.0%）,无连接超时问题
失败统计,失败率,39.95%,3.20%,低36.75个百分点
