Timestamp arrow_downward	Unit	Priority	Message (showing first 5000 entries)
02-18 09:23:03	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36372->163.177.58.13:12101: write: broken pipe"	
02-18 09:23:03	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36372->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:56	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36416->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:56	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36416->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:55	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36372->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:55	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36372->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:52	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:52	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36416->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:52	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36416->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:51	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36372->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:51	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36372->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:50	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:49	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:48	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36318->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:48	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:36318->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:48	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:45	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:55174->163.177.58.13:12103: write: broken pipe"	
02-18 09:22:44	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:43	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:55174->163.177.58.13:12103: write: broken pipe"	
02-18 09:22:42	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:41	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:55174->163.177.58.13:12103: write: broken pipe"	
02-18 09:22:41	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:40	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:55174->163.177.58.13:12103: write: broken pipe"	
02-18 09:22:33	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:32	dae	Informational	level=warning msg="handlePkt(dns): failed to write cached DNS resp: listen udp 192.168.1.15:53: bind: address already in use"	
02-18 09:22:29	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:27	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:26	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:25	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:23	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:22	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:20	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:19	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:18	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:17	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48166->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:16	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:54134->163.177.58.13:12103: write: broken pipe"	
02-18 09:22:16	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:54134->163.177.58.13:12103: write: broken pipe"	
02-18 09:22:11	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:03	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:22:00	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:54134->163.177.58.13:12103: write: broken pipe"	
02-18 09:22:00	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:54134->163.177.58.13:12103: write: broken pipe"	
02-18 09:21:58	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:56	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:55	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:51	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:47	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:45	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:44	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:42	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:40	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:39	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:38	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:37	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:34	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:32	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:31	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:27	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:25	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:24	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:21	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:17	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:15	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:14	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:12	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:10	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:09	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:08	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:07	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:04	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:21:00	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:57	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:56	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:55	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:54	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:53	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44690->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:53	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44690->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:53	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:49676->163.177.58.13:12103: write: broken pipe"	
02-18 09:20:53	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44690->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:52	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:48	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:47	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44680->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:47	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44680->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:46	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:45	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:43	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:42	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:39	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:37	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:36	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:35	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:33	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:32	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:30	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:30	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36694->163.177.58.13:12103: write: broken pipe"	
02-18 09:20:30	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48460->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:28	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36694->163.177.58.13:12103: write: broken pipe"	
02-18 09:20:28	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48460->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:27	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36694->163.177.58.13:12103: write: broken pipe"	
02-18 09:20:27	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48460->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:27	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:57382->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:26	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:25	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:57382->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:25	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36694->163.177.58.13:12103: write: broken pipe"	
02-18 09:20:24	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48460->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:24	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:24	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:57382->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:23	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:23	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36694->163.177.58.13:12103: write: broken pipe"	
02-18 09:20:22	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48460->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:22	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:22	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36694->163.177.58.13:12103: write: broken pipe"	
02-18 09:20:21	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:48460->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:21	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36768->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:17	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:20:07	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:47922->163.177.58.13:12101: write: broken pipe"	
02-18 09:20:04	dae	Informational	level=warning msg="handlePkt(dns): listen udp 192.168.1.15:53: bind: address already in use"	
02-18 09:20:01	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:52	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:48	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:46	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:45	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:40	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:32	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:28	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:26	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:24	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:23	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:19:22	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:38358->163.177.58.13:12103: write: broken pipe"	
02-18 09:17:40	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44852->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:40	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44852->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:40	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44838->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:40	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44838->163.177.58.13:12101: write: broken pipe"	
